pair,scorer,median_cheap_auroc,p10_cheap_auroc,p90_cheap_auroc,median_benefit_auroc,p10_benefit_auroc,p90_benefit_auroc,median_gain,p10_gain,p90_gain
llama-3.1-8b→gpt-oss-20b,probability_margin,0.5037246265004272,0.48802478660129905,0.5327344067557591,0.48940397250264506,0.47512978226954034,0.5128842730405732,-0.000574193294473452,-0.013187105366626687,0.012948442174709472
llama-3.1-8b→gpt-oss-20b,sequence_probability,0.5223187251657002,0.5033297663190902,0.5493459091323859,0.49192428078299005,0.47714516772927856,0.5151607670168612,-0.0077259581076386695,-0.01912424495143737,0.005622628437035031
llama-3.1-8b→qwen2.5-7b,logreg_ensemble,0.6587445768940432,0.6332454022845482,0.6867987291474836,0.4708535610454998,0.4541491004977526,0.4839676630600892,-0.05851131277989252,-0.07143920682730806,-0.04846415365393799
llama-3.1-8b→qwen2.5-7b,mean_token_negentropy,0.5109499041883383,0.49743921558868176,0.5395739491824901,0.5084149873671141,0.48972909709761525,0.519509306837502,0.02129140424012567,0.0085405549322292,0.030798995445296618
llama-3.1-8b→qwen2.5-7b,min_probability,0.6559614762461736,0.6325680843474438,0.684600867696953,0.4686523579267186,0.4540637154353632,0.48415450363060664,-0.05821493882530655,-0.069118696480696,-0.04702339180838321
llama-3.1-8b→qwen2.5-7b,min_token_negentropy,0.6481928510398262,0.6198699284108536,0.6769786559822146,0.48921181984414863,0.4701427783702716,0.49952245918900273,-0.037400328772871805,-0.05325472877494005,-0.030613744227524636
llama-3.1-8b→qwen2.5-7b,probability_margin,0.5037246265004272,0.48802478660129905,0.5327344067557591,0.5107197540100267,0.4940654525390433,0.5216821514010412,0.024071473258319456,0.01273266278831061,0.03424211301393922
llama-3.1-8b→qwen2.5-7b,sequence_probability,0.5223187251657002,0.5033297663190902,0.5493459091323859,0.507694258937202,0.491718660505658,0.5191115634631207,0.01796680554978753,0.0059228187492206255,0.026231492766563683
qwen2.5-7b→deepseek-v3,logreg_ensemble,0.7176350969386578,0.7029384559278694,0.7374276511321468,0.6871556802380943,0.6719633872985431,0.7041527277099205,0.06078129068729746,0.044520907745432804,0.07744718028051767
qwen2.5-7b→deepseek-v3,mean_token_negentropy,0.6459690402866269,0.6266770895374231,0.6656725432931524,0.6196735352384107,0.602240051665652,0.6459480364242249,0.05010648094370468,0.03483647844875233,0.06520547879589567
qwen2.5-7b→deepseek-v3,min_probability,0.6975670750040366,0.684777009228956,0.7190904400607153,0.6706944441491901,0.6543669894764654,0.6862801296311452,0.050345532165935,0.03398610264201399,0.06709566345614533
qwen2.5-7b→deepseek-v3,min_token_negentropy,0.7135618073026977,0.6976129529034035,0.731983653307642,0.6853260916727411,0.6685836602663395,0.700998732598266,0.06280682278387227,0.042483356362832674,0.07885243218673481
qwen2.5-7b→deepseek-v3,probability_margin,0.6299737477398895,0.6106178737037642,0.6519120561161713,0.606064396553527,0.5901877435987362,0.631825544512996,0.045042729289157715,0.030869571897668664,0.060036287360592376
qwen2.5-7b→deepseek-v3,sequence_probability,0.642479577663503,0.6227913796945448,0.6639769282740109,0.6171796996231591,0.6010587652638556,0.642441989464892,0.0490124007173401,0.033171220863699176,0.06346522067015295
qwen2.5-7b→gpt-oss-20b,logreg_ensemble,0.7176350969386578,0.7029384559278694,0.7374276511321468,0.6705129624867694,0.6513167555421189,0.6792796721571434,0.03253114795220291,0.011974767310138421,0.05834780198268055
qwen2.5-7b→gpt-oss-20b,mean_token_negentropy,0.6459690402866269,0.6266770895374231,0.6656725432931524,0.5897657931763941,0.5716399276189678,0.6102033320992017,0.00871493345394314,-0.010282250703412016,0.03044203386384516
qwen2.5-7b→gpt-oss-20b,min_probability,0.6975670750040366,0.684777009228956,0.7190904400607153,0.6469703009979121,0.6306033632871336,0.662254537908179,0.02378653978213749,0.0082052920202913,0.05305306346514809
qwen2.5-7b→gpt-oss-20b,min_token_negentropy,0.7135618073026977,0.6976129529034035,0.731983653307642,0.6722211609141526,0.651262790513896,0.68410607657183,0.03911155871021703,0.021092533641735352,0.06630802980679008
qwen2.5-7b→gpt-oss-20b,probability_margin,0.6299737477398895,0.6106178737037642,0.6519120561161713,0.5781325838690441,0.5594354055793189,0.5988485248227781,0.004591055891948257,-0.013473460882833261,0.029752987538481254
qwen2.5-7b→gpt-oss-20b,sequence_probability,0.642479577663503,0.6227913796945448,0.6639769282740109,0.5871647219948293,0.5687336537471044,0.6072169142024589,0.006036478519977019,-0.012057720265343975,0.030742947936071803
