dataset,cheap_model,expensive_model,spearman_score_cost,abs_spearman_score_cost,p_value,n
mmlu,gpt-oss-20b,llama-3.3-70b,-0.33308918992123876,0.33308918992123876,5.073892541275329e-53,2000
mmlu,gpt-oss-20b,gpt-4o,-0.34798912946293736,0.34798912946293736,5.078617652800224e-58,2000
mmlu,gpt-oss-20b,MiniMax-M2.7,-0.6138695916622383,0.6138695916622383,1.8663543634845586e-207,2000
mmlu,deepseek-v3,llama-3.3-70b,-0.15089576817180547,0.15089576817180547,1.177731402015728e-11,2000
mmlu,deepseek-v3,gpt-4o,-0.1679802668938015,0.1679802668938015,3.987598582758632e-14,2000
mmlu,deepseek-v3,MiniMax-M2.7,-0.35289219853609977,0.35289219853609977,1.0000479083253345e-59,2000
mmlu,llama-3.3-70b,gpt-4o,-0.0323109185457084,0.0323109185457084,0.14871074991001582,1999
mmlu,llama-3.3-70b,MiniMax-M2.7,-0.013938340776541968,0.013938340776541968,0.5333987722766593,1999
mmlu,gpt-4o,MiniMax-M2.7,-0.12159473193515774,0.12159473193515774,4.904648587784547e-08,2000
triviaqa,llama-3.1-8b,qwen2.5-7b,-0.10345102932941552,0.10345102932941552,3.551789153901731e-06,2000
triviaqa,llama-3.1-8b,gpt-4o-mini,-0.14195840954890399,0.14195840954890399,1.806805743589428e-10,2000
triviaqa,llama-3.1-8b,gpt-oss-20b,-0.48799665289506455,0.48799665289506455,3.592186120289201e-120,2000
triviaqa,llama-3.1-8b,deepseek-v3,-0.10861099676856387,0.10861099676856387,1.1238991311240281e-06,2000
triviaqa,llama-3.1-8b,llama-3.3-70b,-0.09485375641271393,0.09485375641271393,2.1480392071158113e-05,2000
triviaqa,llama-3.1-8b,gpt-4o,-0.1302814530939936,0.1302814530939936,4.985372840600737e-09,2000
triviaqa,llama-3.1-8b,MiniMax-M2.7,-0.3481978036510831,0.3481978036510831,4.302961685875807e-58,2000
triviaqa,qwen2.5-7b,gpt-4o-mini,-0.19147580551815593,0.19147580551815593,5.733429668789181e-18,2000
triviaqa,qwen2.5-7b,gpt-oss-20b,-0.5339311112898208,0.5339311112898208,8.419251461667659e-148,2000
triviaqa,qwen2.5-7b,deepseek-v3,-0.17728415664068858,0.17728415664068858,1.385144752625331e-15,2000
triviaqa,qwen2.5-7b,llama-3.3-70b,-0.1356351512131689,0.1356351512131689,1.1279851200853035e-09,2000
triviaqa,qwen2.5-7b,gpt-4o,-0.21567501654208227,0.21567501654208227,1.768775068751665e-22,2000
triviaqa,qwen2.5-7b,MiniMax-M2.7,-0.3440506540272381,0.3440506540272381,1.132444742125466e-56,2000
triviaqa,gpt-4o-mini,gpt-oss-20b,-0.2947799952632832,0.2947799952632832,2.1873628845864905e-41,2000
